insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('75e8d83e-e811-4b7e-8ee5-0d7cd7e7508f','6d986260-cab3-4f50-88c9-ffd415e429f0',83, 78.25, '14/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('9e114e1c-74dc-4cde-b16b-eeecd72e0424','787e178c-5ab8-4090-8c13-dd9c2a94e3f1',190, 65.78, '22/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('6008809e-c087-4069-90ac-8dba5de9ac43','7dd2c217-6d83-4cad-a4a8-f2925e8fa03c',42, 20.28, '05/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('425bd285-6f1c-439a-be03-b5443cb6e8d2','0eac35dc-2ca9-4d12-8289-ac4fe300b35b',161, 26.05, '05/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('c7d3d71d-d732-42a8-abd9-cbdfe88f95e4','d98f84bf-5a4f-4844-abd7-ce4df35ea81f',193, 46.48, '12/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('bad19c8f-88c9-4ce7-89aa-d5b4854419d6','3933db82-a206-4c08-99de-d7d8ad5b1178',1, 52.64, '15/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('c5af083e-10e3-4dee-978f-d340708f1606','797b6511-188d-44e8-8c4a-1fad63a6cba5',131, 72.33, '16/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('f38add98-61af-4646-b80e-ad62c23ec16b','039365d6-09d7-422a-9735-6c852d66f99d',59, 73.21, '19/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('6e596cb2-3c46-4b60-9b1d-2a5fcf90c998','6539de5c-8e4d-46a4-b1a1-2ece322cc4ea',109, 76.84, '12/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('b4aa986e-e01b-4b4c-86c0-3bf9205ca526','79b99f94-bb0b-4857-b02d-3f890df17f05',180, 36.41, '02/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('8a7f7161-1d7c-40d0-83df-8ad21913e721','f4938d7c-e407-46b8-85ba-fe7a12155dd4',108, 51.59, '25/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('96a081bb-8fec-4f45-89fa-cc8433b6f106','87115beb-5acc-4589-801c-4d90a0dd4d38',60, 58.43, '28/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('da6078e9-9a84-4c52-ba3d-4d691c518a61','15b7a36a-dd0f-4a8e-85b2-fb68ec6d2c06',25, 36.53, '08/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('148c0071-4979-415c-8808-79e7487510f2','5fbc9989-fa6b-4289-995a-bdb12b1062c0',132, 56.14, '05/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('2729bf30-73aa-4b4a-be69-3c48928f777c','0934ffef-e05c-4e6f-b204-c30adf4ff008',197, 58.31, '05/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('682d042a-b476-488a-b529-742fa827604a','02008bf5-e962-43b0-bf21-743256aaf479',119, 23.43, '22/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('39250568-b6c8-4e2b-ae48-ac5774c58b03','d100b9d6-7a21-4ab8-b8d6-99cc5ad034b0',185, 62.72, '24/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('06d4f1d1-18b5-4372-8f48-0fee5f2053a3','de07c260-92e3-4d95-9a79-90340351bbe3',156, 59.41, '11/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('971974be-a9c8-4ba3-97c3-1dbb292f0333','566302ca-a5a8-45f8-ad8b-6c2d8dbc0280',124, 50.39, '23/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('c116f1c8-5046-4173-867d-d43b35391f28','f2f33afd-4b6c-491b-ae21-60052c9bbad3',5, 48.03, '01/05/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('d6fa270f-0bd2-4b95-acbe-05944ce59945','0a46e7dc-9b1c-46ca-b321-2ff7c1391a08',198, 54.40, '18/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('5e7a6ffb-8dc3-4df7-bd81-0f70b8c6294b','96aabfb5-b7ca-40ee-b852-89a110add01e',145, 77.87, '22/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('622818a8-61a4-4680-87ab-962d3311d853','41f304c9-c734-4866-85ce-c13807b7557d',170, 36.32, '14/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('b439c060-eee0-407e-93a6-12a0f0bf0bc0','2b02104f-2f43-40a3-941f-8f76907bc88a',6, 64.81, '09/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('a6e7dd15-6161-42e5-b282-e431bec79b66','16ad21b5-1fcb-4aac-b733-4eb59d6fc053',128, 23.08, '03/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('b3402da9-5524-4f17-959c-1c1a566abd69','039365d6-09d7-422a-9735-6c852d66f99d',90, 73.21, '04/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('e4ab6f72-6647-4fff-89dc-4b481f0ab5c4','15b7a36a-dd0f-4a8e-85b2-fb68ec6d2c06',15, 36.53, '16/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('91f90fd8-15e7-4466-a68c-025089851cd5','b791322b-675d-4b9e-afc9-d02b608104c5',197, 45.96, '01/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('6aea7bba-c491-4a8e-8a5e-bc06750083e0','01f99a2a-b05e-42c0-8181-ed8476677978',32, 15.57, '13/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('1f1c74e4-bb2b-43fe-a4e5-7e3012f8f6d8','2c3ae3b6-7fb0-48db-bb4c-57a371f8d642',22, 74.79, '03/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('90562646-eb92-4ff4-8274-03932727e659','d9ba4341-3468-407b-a2b2-001065c8ca64',147, 8.41, '10/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('45a38514-2b25-429f-b3d7-24db986a42db','b8f06642-90e7-43e1-a721-fe534ba203bb',66, 35.95, '09/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('d084242f-a193-47f2-a709-6245fd8d0aa4','fd6798fe-1286-4348-8e0e-b6f87791ccc3',175, 39.22, '07/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('d4e818c7-18f0-4296-bdbb-a0dfaa4c4be2','2e666b2f-7a06-4e78-a3c2-43b17a730f5e',115, 25.39, '28/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('42a43327-62f7-4c5f-a1a4-b2ac27e69da1','2991900a-6d5e-40a2-8eff-38f9ec8c7e2f',96, 39.73, '26/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('9c61d8e6-7b17-474b-be12-2a07a9bf7e19','0a8e6a83-264e-492c-931b-7fdf960ffcbd',107, 12.82, '02/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('6e09cd90-11e6-472a-a22a-3dd7b80ed7ce','3f048492-b1f9-41b4-9244-c5f1c7cf9c88',166, 35.41, '01/05/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('dd354f82-c4dc-43b7-a4f7-5ba91447e1a7','9c781d78-6940-4bba-807b-decd49df8e23',83, 71.62, '08/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('9990e83b-e4ba-4c8c-be88-2c495809eb07','6d4d6a0f-9a23-40c6-9976-b83ad6f8b836',129, 78.23, '02/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('d7a8ffca-0732-4132-9842-ed4ad7b4d461','5ad8d0d5-bfb3-4bcd-934f-7c51b88ccb2f',18, 66.14, '29/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('d9e81440-2273-43e8-bb79-4f11ab28b05b','9c626354-6b9f-445f-bd7b-13dd016b050f',145, 3.90, '06/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('bbd81cea-a28a-43e5-ab8a-53f682b29bf3','6b98be0c-391c-44d0-8246-a0227ac979bb',36, 50.77, '01/05/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('a401fad2-4862-4525-8bb3-e9b724335fd1','6ed87320-d6ad-4b6b-a649-8985ed924cae',48, 63.19, '06/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('c3913562-ec1e-4139-8005-d180e2d58593','4d5f2b79-00ff-48eb-9798-77923c0c1cae',31, 45.87, '17/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('4451789d-bded-4e9c-a391-85e32ad6175e','46a9774f-aca6-4dd0-aa2d-ddb3a64da83f',152, 64.97, '29/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('c81c4c3d-25d7-49f8-9212-20eb322102d7','3c474e79-b0c6-44d8-b039-38e6b8a55616',123, 28.69, '29/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('52466041-b284-4805-890a-e9e4d3279216','464bdef2-9628-42b9-ad7e-f06dbaf31570',140, 57.25, '16/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('42d4ffcc-9d10-4e9f-b997-b5ec73c51564','71ebdae1-1736-4a53-89f9-4d48df7ffb6e',190, 43.25, '11/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('5bf2f871-a9f4-4c77-90ff-91e5435eceb7','f40fea9b-b07d-4c4e-b1e9-c213dba6479b',82, 59.99, '26/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('d209ff27-92b1-43b2-beda-1d9732302261','a61a297a-7046-4eb8-a9e2-869fe325ab8e',89, 29.45, '31/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('7dae6269-8429-4e9f-a344-13d6f4edb236','7bdf06c0-340e-420b-9621-19fc4321f6a8',26, 47.59, '10/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('2324ee0e-edc2-4037-9a17-5d5818809c5d','0a46e7dc-9b1c-46ca-b321-2ff7c1391a08',172, 54.40, '06/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('e74edfe0-42cc-4392-abc6-6e54d10fffad','ce9e10dd-3346-4112-bcd2-4ebd63dc6437',70, 37.12, '25/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('c834638f-cfae-419d-92ba-5c0e68ac48b9','3e1c6a98-18d9-4ed7-981e-d2d94455112f',151, 50.39, '03/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('6dc22722-7f79-413f-93e5-1a82a23d6cee','baf5b6d2-bdfe-4374-ba62-951af068d12e',42, 19.17, '28/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('496f20d3-7a9a-49f1-a895-a797e8011307','fe1663c8-ccbc-4ed8-a74c-dc9c970d2d85',156, 59.94, '20/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('af030357-a630-4b1a-9511-d863d75792b3','1bd9dd12-3b93-4c8c-be57-80a27a2f5928',1, 67.93, '22/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('2e023160-0bff-49e2-ba82-2ffc1419a56d','fd61e374-3cd7-4353-a140-47d9186a9000',19, 40.00, '14/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('90647b0d-930f-46d8-914d-4206b0c8e74a','7dd2c217-6d83-4cad-a4a8-f2925e8fa03c',25, 20.28, '13/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('48bdba2a-b3e6-4ec0-bca9-8ee4b3d930bd','cdc1b291-47c4-482c-a5b9-6c40181d987f',30, 50.66, '05/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('4fe86bc7-1e50-4aea-8ef0-c06e5e62e62f','3933db82-a206-4c08-99de-d7d8ad5b1178',123, 52.64, '20/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('4b41dcb6-1623-437e-b515-6a177a4d25e2','7e8fead1-7258-4cc5-817b-1807f6812650',116, 5.50, '24/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('26bbfd90-0169-4b38-bedf-144a62691f90','6cd270e5-954f-4fe6-af55-7a8489b19c50',2, 74.25, '01/05/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('8d9e0962-9dd2-4200-8f94-ff40b3b5a259','8709f342-d01a-491f-be37-43a7b9ff8d88',170, 75.10, '02/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('ecb0a025-adc1-4d18-a63f-bcf1652e54b1','8521c760-95ae-4ab4-bf1f-cffb864bc4bd',154, 67.89, '12/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('e0faa1dd-6026-4b40-8a01-d3c0a0094291','72a41cd6-85df-4cac-8fff-ceb5ca356e76',179, 60.22, '23/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('e497f5b7-7d73-4e2e-bac1-2fee2c02bd00','b518442d-0eb3-4a45-a375-f2c3f8e812c1',139, 40.08, '20/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('aefaf8a6-3cfe-4fb6-951d-93b624aa9d97','d9ba4341-3468-407b-a2b2-001065c8ca64',118, 8.41, '11/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('7fc5f4d6-f9fe-41ef-a456-83faf28aa471','a709c42d-5ee5-4f98-8015-871b1f5a0f30',133, 67.70, '27/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('37c06163-1d10-4479-85cf-e010070a4e28','2c3ae3b6-7fb0-48db-bb4c-57a371f8d642',66, 74.79, '28/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('cf913884-8d55-4238-b763-b74db80e21a4','5511e5ff-aebb-4209-841c-c24142838df2',4, 26.30, '08/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('bee789d4-526c-4bc2-a78d-4883c5034020','059c62d0-49eb-4b6b-a79b-b3d6037d6315',165, 62.56, '15/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('89ad0469-2149-4bf6-b92f-f064da2debdd','89510ac0-933c-4edd-a2ac-6f7ffde5e2db',38, 30.30, '04/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('457e258c-c103-47f3-ac33-f81d9a00d033','1bd9dd12-3b93-4c8c-be57-80a27a2f5928',24, 67.93, '04/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('634b14e6-41db-4315-9c65-bd6596d9a84b','2991900a-6d5e-40a2-8eff-38f9ec8c7e2f',197, 39.73, '25/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('d4f8ec30-b1d3-4d6a-867c-e28b3119877b','6539de5c-8e4d-46a4-b1a1-2ece322cc4ea',176, 76.84, '29/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('1909a18e-4825-4aca-abdd-0a72bda66711','614546f2-409e-4f53-82c3-08187125c076',26, 66.42, '30/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('23b0d473-336c-4e64-8639-19561172d0e8','72a41cd6-85df-4cac-8fff-ceb5ca356e76',135, 60.22, '23/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('6d89d17c-39da-4a06-9fa0-b46e07bb5626','87115beb-5acc-4589-801c-4d90a0dd4d38',120, 58.43, '25/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('28b78a57-10a9-4edd-9ded-4ab2c643c0f9','88192bf2-e49c-4125-8a76-0da9c43b65bd',60, 53.07, '24/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('dfe97a6b-4ad9-437a-9104-46655bafa472','8a9cbbde-2a4d-4434-a666-f6b64b5db5c6',59, 71.10, '26/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('01c5fd3c-68db-415e-826a-f572b737d3f5','d49ec7fe-fc0b-49f2-81da-8a0e0a3fc697',115, 43.35, '05/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('c145fc22-2984-43f5-b4d9-8d5ef31bf206','4b9bf39e-758a-44fe-b149-cdab6164e943',107, 10.45, '08/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('05c79535-ea03-48ba-b586-2233191097ff','a8754384-7f40-46e7-9ba8-8d2d648fb065',120, 69.86, '24/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('4b3a39eb-711a-4def-8fe4-23a9699eaa27','4d5f2b79-00ff-48eb-9798-77923c0c1cae',104, 45.87, '03/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('b2adc314-85dd-46d3-938b-ecfe7008dc20','e0b3423e-e5f4-4f60-9ae5-3a9229e4b65d',130, 51.23, '14/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('3bb535c9-1cc1-42fd-9d4e-cecb69a9fb1f','f4938d7c-e407-46b8-85ba-fe7a12155dd4',49, 51.59, '15/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('567c239b-e736-42a9-9eb5-21d4db33bd11','2991900a-6d5e-40a2-8eff-38f9ec8c7e2f',200, 39.73, '18/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('f7b5723a-d00d-4109-9c46-3d1aa55aee81','26aea7ea-63cd-4199-bd86-e114b2ae5032',199, 33.60, '29/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('5891b97f-cb4c-48ce-adf2-cfb2a9b886fd','7e8fead1-7258-4cc5-817b-1807f6812650',6, 5.50, '05/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('4819082b-2d0b-4464-b17e-a9b2211d1535','535a7cf0-b154-446c-a936-2d7a9a5c4d02',145, 74.76, '29/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('0f4a0696-e20c-41a0-80be-db3a13a7a5bc','4d00d27a-1f26-4ebf-961d-a785c7948948',30, 19.76, '04/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('9a07dbef-7ea8-434f-a9bb-2e36849bdd32','0d3568cf-4f0c-4ad7-94fa-92141453a66a',84, 26.78, '28/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('57eae990-6658-4e11-b232-126293059fcd','cf576c98-e825-44ed-9c42-f3a9284c8be1',166, 65.91, '04/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('7ec9265b-5cc6-4cad-970e-09954a300e9b','b8f06642-90e7-43e1-a721-fe534ba203bb',165, 35.95, '05/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('e8b2f168-fa77-43cf-9377-5f2e681fdb4d','fe1663c8-ccbc-4ed8-a74c-dc9c970d2d85',17, 59.94, '11/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('fb095c45-13d8-42e4-a805-19bd2a94a843','f2f33afd-4b6c-491b-ae21-60052c9bbad3',78, 48.03, '02/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('e1be2478-b460-4e12-b4a6-07ef4b676f8c','cdc1b291-47c4-482c-a5b9-6c40181d987f',168, 50.66, '04/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('00b40823-3f66-4c0f-855f-cf750e384757','059c62d0-49eb-4b6b-a79b-b3d6037d6315',170, 62.56, '10/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('86818019-da52-4a05-8981-bb166650ff5b','cb49ea10-79f8-422d-a0cf-da7a2e590d1e',87, 62.84, '21/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('d66fb17f-4ee4-499a-9e6e-5c394b7346db','d9ba4341-3468-407b-a2b2-001065c8ca64',66, 8.41, '26/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('b5a63e62-b1ff-4dff-bd63-c74f6445efb2','2d7609d1-930b-4170-9647-053586b6909d',169, 47.77, '20/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('c6e574a4-6fb6-4730-87d2-ba0ed1bdce16','b826dc7a-b065-46d7-bd13-f5d6b3607a4d',125, 3.16, '24/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('188628df-fc85-464c-ae2b-9e10c1bec7af','6cc2b617-322d-497d-92bb-4842470a08c8',125, 68.20, '28/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('fa8cd2a8-268d-4202-b598-31326d6650cd','89524129-bbec-49c5-a5f2-2f543d6e32c4',155, 5.62, '25/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('19ec9e69-7d81-4c42-b28f-c4c3e8cdf7fd','a1ca2b71-25d8-45b3-8e66-0ffd0feca5e4',129, 65.57, '06/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('cd781249-6b2c-4d7f-b340-442393d63197','f40fea9b-b07d-4c4e-b1e9-c213dba6479b',118, 59.99, '18/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('8eebbafa-c366-4553-acd0-a946a5adcbed','5fe00ed3-a80e-4509-95aa-8a5e2762e7b0',172, 62.10, '03/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('a4818a07-30e0-4d39-a8f2-a1c7e79288f4','2048a17e-0e6b-4612-a590-3d68e1ffdc1e',175, 55.48, '04/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('6379d9cb-5fa0-4369-8deb-b2273238f695','8aea8142-8b32-462b-9c7d-3d7ce7ffb646',123, 42.17, '07/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('5746823e-c185-4b11-8f4c-17bbf7af92d0','085039a2-ad5b-45c0-bfb8-504d8daac4ea',179, 74.66, '19/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('20473b82-9ba8-49c4-8936-601662ec4e77','132f0b0e-0573-417b-936c-a86508f5efa4',55, 70.39, '29/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('fd27002b-1f29-450a-9e3d-d5786ba0eb75','3c407de7-fff0-4df8-8a78-7342f56253f6',80, 53.24, '09/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('9f8f48cf-b200-4b1a-90e2-6b46927f857a','60f8b8c9-d508-4f40-88eb-c0cbdf06db4d',46, 41.75, '15/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('25590680-8f65-4cd2-9ed4-218ad9dd768d','151db54f-27dd-4a88-b5b5-9579fdf16a0c',158, 27.70, '26/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('dffc1cf5-31fa-4882-9c40-7d21b9f30120','87115beb-5acc-4589-801c-4d90a0dd4d38',85, 58.43, '17/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('a9f404fe-6768-4506-be67-66264ebab0fb','89524129-bbec-49c5-a5f2-2f543d6e32c4',79, 5.62, '23/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('f46bfbd4-b9b0-46a3-9758-e77fc8b554a2','6d4d6a0f-9a23-40c6-9976-b83ad6f8b836',150, 78.23, '07/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('46b9e0b0-6150-4820-a756-a7069270d573','015e0c8d-ad4d-494a-9cde-bdbaaf96ed7f',41, 60.92, '26/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('4eabbb1c-7821-43e0-ae63-b92e7b88bfd3','8a9cbbde-2a4d-4434-a666-f6b64b5db5c6',39, 71.10, '01/05/2019');
